700070 particles, 3094 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
1 2401 569431 2.641767e-02 1.968619e+03 1560 1342 5.299739e+05 470684 7.578469 3.24e-83
2 1267 403315 3.141029e-02 8.209106e+02 526 185 9.177379e+04 75307 5.194971 2.62e-29
3 2751 634255 3.203604e-02 1.822099e+03 1038 210 9.442577e+04 74996 5.086551 1.05e-27
4 2521 588773 4.243268e-02 1.245120e+03 999 3 1.584318e+03 1310 4.943060 1.11e-25
5 1618 454864 4.285551e-02 1.834244e+03 1389 7 3.722522e+03 3414 4.460823 1.17e-19
6 796 316407 3.633390e-02 1.539535e+03 1105 101 4.645589e+04 36661 4.459054 1.23e-19
7 132 149304 3.242160e-02 2.407820e+03 1685 77 4.638527e+04 35940 4.184933 1.03e-16
8 1551 444679 3.277770e-02 7.977457e+02 354 28 2.046902e+04 16226 4.140320 2.88e-16
9 2346 560048 3.830636e-02 1.702562e+03 1069 95 4.733088e+04 37595 4.047168 2.28e-15
10 563 272573 4.825718e-02 5.940323e+02 665 5 1.528705e+03 1795 3.985288 8.60e-15
11 2448 577233 3.850616e-02 1.639284e+03 1376 5 2.863966e+03 2419 3.909648 4.15e-14
12 751 308817 4.254733e-02 1.326709e+03 931 18 9.321534e+03 8051 3.866379 9.95e-14
13 777 313305 4.654602e-02 1.030710e+03 957 1 1.030710e+03 957 3.848187 1.43e-13
14 797 316455 5.138249e-02 4.199479e+02 460 9 3.045702e+03 2488 3.788302 4.62e-13
15 1176 390280 5.112130e-02 1.263924e+03 1012 2 1.358367e+03 1104 3.763097 7.50e-13
16 2680 621311 5.003853e-02 8.146321e+02 693 3 1.770118e+03 1576 3.637141 7.72e-12
17 2478 580996 4.217029e-02 9.098283e+02 709 21 9.657665e+03 7585 3.632252 8.42e-12
18 596 279153 5.424641e-02 9.016977e+02 661 22 7.628806e+03 7658 3.599758 1.50e-11
19 2042 513335 5.556425e-02 1.395626e+03 1202 13 4.340339e+03 4241 3.589381 1.80e-11
20 1060 367183 4.400781e-02 8.955213e+02 640 7 2.865077e+03 2534 3.563579 2.82e-11
21 2829 647658 4.381908e-02 1.069057e+03 896 19 6.206542e+03 5132 3.546273 3.80e-11
22 1331 412512 3.841864e-02 1.548341e+03 1080 44 2.317351e+04 17468 3.533811 4.71e-11
23 2641 612196 4.812140e-02 1.086316e+03 679 21 7.479377e+03 6210 3.490813 9.73e-11
24 2167 533459 3.613406e-02 2.851711e+03 1662 17 1.016021e+04 8215 3.488941 1.00e-10
25 180 171425 4.160850e-02 1.859919e+03 1521 46 2.368619e+04 18101 3.433270 2.51e-10
26 1935 498604 4.481008e-02 1.274152e+03 1080 12 5.985721e+03 4900 3.413362 3.46e-10
27 1467 433422 4.454503e-02 9.127254e+02 859 1 9.127254e+02 859 3.411764 3.55e-10
28 1634 457927 5.244481e-02 7.820862e+02 672 42 1.758104e+04 16145 3.397386 4.47e-10
29 738 307339 5.335254e-02 1.878376e+03 1978 10 4.470979e+03 4722 3.363177 7.67e-10
30 2174 534247 5.331167e-02 1.127811e+03 1192 5 2.202146e+03 2299 3.352763 9.02e-10
31 1846 486413 4.877373e-02 5.169701e+02 392 3 1.751306e+03 1578 3.338001 1.13e-09
32 400 239838 4.238964e-02 9.085348e+02 772 17 1.062099e+04 8335 3.281669 2.67e-09
33 1173 389836 5.933630e-02 5.769682e+02 423 6 2.164508e+03 1883 3.266592 3.35e-09
34 641 289409 4.111757e-02 1.665520e+03 1129 24 1.447665e+04 10808 3.237735 5.13e-09
35 1034 362760 5.664761e-02 1.045414e+03 814 9 5.015125e+03 4385 3.208597 7.84e-09
36 2522 588799 5.796399e-02 5.286888e+02 512 6 2.035994e+03 2355 3.200797 8.78e-09
37 117 142568 5.562458e-02 9.051694e+02 968 3 1.931670e+03 2011 3.195254 9.50e-09
38 1690 465906 6.206315e-02 8.161247e+02 908 2 9.260066e+02 1017 3.184232 1.11e-08
39 2386 567054 5.408187e-02 4.664400e+02 370 26 1.099180e+04 9720 3.180687 1.17e-08
40 1326 412195 6.267192e-02 5.589601e+02 643 8 2.689054e+03 2908 3.168113 1.40e-08
41 1230 398647 5.219519e-02 9.943165e+02 872 4 3.124257e+03 2774 3.148072 1.85e-08
42 134 151349 4.681036e-02 1.504924e+03 1473 2 2.185865e+03 2075 3.132605 2.30e-08
43 2427 573847 5.285682e-02 8.760399e+02 627 4 1.564592e+03 1263 3.123524 2.61e-08
44 568 273436 4.785840e-02 9.886692e+02 766 10 5.153959e+03 4134 3.091329 4.05e-08
45 1135 382337 5.687312e-02 1.020641e+03 1113 13 5.831859e+03 6099 3.074521 5.09e-08
46 1396 422622 5.936200e-02 1.318229e+03 1256 15 6.538368e+03 6078 3.069073 5.47e-08
